,SeniorCitizen,Dependents,Contract,PaperlessBilling,Partner,tenure,MonthlyCharges,TotalCharges,Churn,DSL,Fiber optic,No
0,0,0,0,1,1,-0.6086956521739131,-0.7451701931922723,-0.40303835145121064,0,1,0,0
1,0,0,1,0,0,0.10869565217391304,-0.24655013799448008,0.14499950269465822,0,1,0,0
2,0,0,0,1,0,-0.5869565217391305,-0.3035878564857405,-0.3799633835918706,1,1,0,0
3,0,0,1,0,0,0.34782608695652173,-0.516099356025759,0.13063290393165922,0,1,0,0
4,0,0,0,1,0,-0.5869565217391305,0.006439742410303745,-0.36714395700334845,1,0,1,0
5,0,0,0,1,0,-0.45652173913043476,0.5390984360625578,-0.17003422197500206,1,0,1,0
6,0,1,0,1,0,-0.15217391304347827,0.344986200551978,0.1626520004567842,0,0,1,0
7,0,0,0,0,0,-0.41304347826086957,-0.7470101195952161,-0.32286536286713097,0,1,0,0
8,0,0,0,1,1,-0.021739130434782608,0.6338546458141675,0.4858341652453558,1,0,1,0
9,0,1,1,0,0,0.717391304347826,-0.26126954921803125,0.6160618574170328,0,1,0,0
10,0,1,0,1,1,-0.34782608695652173,-0.37534498620055184,-0.23871393154868245,0,1,0,0
11,0,0,2,0,0,-0.2826086956521739,-0.9457221711131554,-0.31552734626818385,0,0,0,1
12,0,0,1,0,1,0.6304347826086957,0.5519779208831648,1.2623819820749052,0,0,1,0
13,0,0,0,1,0,0.43478260869565216,0.613615455381785,1.0723597691029716,1,0,1,0
14,0,0,0,1,0,-0.08695652173913043,0.6467341306347748,0.37974235899551695,0,0,1,0
15,0,1,2,0,1,0.8695652173913043,0.7893284268629257,1.914861325484504,0,0,1,0
16,0,0,1,0,0,0.5,-0.9144434222631095,-0.11037231593255797,0,0,0,1
17,0,1,2,0,0,0.9130434782608695,0.6688132474701014,1.7637099715246642,0,0,1,0
18,0,1,0,0,1,-0.41304347826086957,-0.27874885004599803,-0.25613066974136434,1,1,0,0
19,0,0,0,1,0,-0.17391304347826086,0.3624655013799449,0.13716049701064237,0,0,1,0
20,1,0,0,1,0,-0.6086956521739131,-0.5648574057037719,-0.4001502967255205,1,1,0,0
21,0,0,1,0,1,-0.3695652173913043,-0.9300827966881325,-0.35223216423601,0,0,0,1
22,0,0,0,0,0,-0.6086956521739131,-0.9236430542778289,-0.4058969362307201,1,0,0,1
23,0,0,2,1,1,0.6304347826086957,-0.19227230910763562,0.6211159531869904,0,1,0,0
24,0,1,0,0,1,0.43478260869565216,-0.19779208831646722,0.4635106810136188,0,1,0,0
25,0,0,0,1,0,0.021739130434782608,-0.27690892364305425,0.039231865852804984,0,1,0,0
26,0,1,0,1,1,0.391304347826087,0.5335786568537259,0.9877368186456348,1,0,1,0
27,0,1,0,0,1,-0.6086956521739131,-0.7387304507819686,-0.40293520663957877,1,1,0,0
28,0,0,2,1,1,0.9347826086956522,0.3661453541858327,1.4652383566084513,0,1,0,0
29,0,1,0,1,0,-0.2608695652173913,-0.1039558417663292,-0.0896991486869297,1,1,0,0
30,1,0,2,1,1,0.9130434782608695,0.4783808647654094,1.5823813926759815,0,0,1,0
31,1,0,0,1,1,-0.5869565217391305,0.46274149034038653,-0.3583029731491952,0,0,1,0
32,0,1,1,0,1,-0.043478260869565216,-0.07727690892364285,0.14056427579449135,0,1,0,0
33,0,0,0,0,0,-0.6086956521739131,-0.9227230910763569,-0.40588220125762986,0,0,0,1
34,1,0,0,0,0,-0.6086956521739131,-0.4618215271389144,-0.3984999797394119,0,1,0,0
35,0,1,2,0,1,0.9347826086956522,0.5436982520699175,1.7252369567860075,0,0,1,0
36,0,0,0,1,0,-0.5217391304347826,-0.011959521619135079,-0.31844487094005436,1,0,1,0
37,0,0,0,1,0,0.3695652173913043,0.08187672493100281,0.6338469699369712,0,0,1,0
38,0,0,0,1,0,0.10869565217391304,0.6623735050597976,0.634126934425686,1,0,1,0
39,0,0,0,1,0,-0.391304347826087,0.5059797608095676,-0.08607434530672682,1,0,1,0
40,0,1,1,0,1,-0.41304347826086957,-0.38270469181232747,-0.27164659640540323,0,1,0,0
41,0,1,2,1,1,0.8913043478260869,-0.02115915363385449,1.0240437923400243,0,1,0,0
42,0,1,1,0,1,-0.2608695652173913,-0.9126034958601655,-0.2885770804861067,0,0,0,1
43,0,0,2,1,0,0.7391304347826086,0.17479300827966884,1.0208315682063485,0,1,0,0
44,0,0,0,1,1,-0.34782608695652173,0.10763569457221728,-0.12260234359746995,0,1,0,0
45,0,0,0,1,0,0.43478260869565216,0.26034958601655944,0.7394672570479217,0,0,1,0
46,0,0,0,0,0,-0.5869565217391305,-0.3882244710211591,-0.3832492825909976,0,1,0,0
47,0,0,0,1,0,-0.5869565217391305,0.1895124195032201,-0.36935420296688676,1,0,1,0
48,0,0,2,1,0,0.5,0.17295308187672506,0.8311482596154909,0,1,0,0
49,0,1,2,1,1,0.8695652173913043,-0.1140754369825205,0.8418458500790164,0,1,0,0
50,1,0,0,1,0,0.30434782608695654,0.3661453541858327,0.7194424286182647,0,0,1,0
51,0,0,0,1,0,-0.30434782608695654,0.5289788408463661,0.008524181932712798,1,0,1,0
52,1,0,0,1,1,-0.08695652173913043,-0.015639374425022896,0.10466988134662923,0,1,0,0
53,1,0,0,1,1,-0.45652173913043476,0.1895124195032201,-0.22520196122491828,1,0,1,0
54,1,1,1,1,1,0.6739130434782609,0.0827966881324747,0.9014488162290994,0,1,0,0
55,1,0,0,1,0,-0.2391304347826087,0.46182152713891467,0.10464041140044868,1,0,1,0
56,0,1,1,1,1,0.7391304347826086,0.5390984360625578,1.4480721129583036,0,0,1,0
57,1,1,1,1,1,0.8043478260869565,0.7010119595216193,1.6735614061584818,0,0,1,0
58,0,1,2,0,1,0.10869565217391304,-0.8353265869365225,-0.14828540169378512,0,0,0,1
59,0,0,2,1,0,0.9347826086956522,0.6835326586936524,1.9026460327926824,0,0,1,0
60,0,0,0,1,1,0.391304347826087,0.5547378104875806,0.9753447062767302,0,0,1,0
61,0,0,0,1,0,0.6739130434782609,0.35970561177552923,1.1944832260750082,0,0,1,0
62,0,0,2,0,1,0.9347826086956522,-0.5197792088316466,0.4610646754806364,0,1,0,0
63,0,1,1,1,1,-0.2391304347826087,-0.29346826126954917,-0.12977827549242432,0,1,0,0
64,0,0,0,0,0,-0.43478260869565216,0.44250229990800394,-0.15920401675366436,1,0,1,0
65,0,0,0,1,0,-0.5652173913043478,0.09107635694572223,-0.33989899175946625,0,1,0,0
66,0,0,1,1,1,0.391304347826087,0.15731370745170214,0.6639210500141823,0,0,1,0
67,0,0,2,0,0,0.043478260869565216,0.16283348666053377,0.3240883656336222,0,1,0,0
68,0,1,2,0,1,0.45652173913043476,-0.9236430542778289,-0.13749940139171818,0,0,0,1
69,0,0,0,1,0,-0.41304347826086957,0.17479300827966884,-0.1503335629533306,0,0,1,0
70,0,0,0,0,0,-0.6086956521739131,-0.39190432382704693,-0.3973801217845525,0,1,0,0
71,0,1,1,1,1,0.5,-0.9190432382704692,-0.09042116236835217,0,0,0,1
72,1,1,2,1,1,0.7608695652173914,0.7589696412143515,1.6802363489683674,0,0,1,0
73,0,1,2,1,1,0.717391304347826,-0.8482060717571297,0.00799372290146355,0,0,0,1
74,0,1,0,1,0,-0.5652173913043478,-0.10763569457221701,-0.3595554458618669,0,1,0,0
75,1,0,1,0,0,0.5869565217391305,0.7387304507819689,1.3974722153663663,0,0,1,0
76,0,0,1,0,0,0.3695652173913043,-0.27046918123275066,0.38056751748857115,0,1,0,0
77,0,1,0,0,1,-0.45652173913043476,-0.28886844526218947,-0.2697163149305798,0,1,0,0
78,1,0,0,1,0,0.021739130434782608,0.08095676172953094,0.21036384332303118,0,1,0,0
79,0,1,1,1,1,0.34782608695652173,-0.8178472861085556,-0.05330376515399888,0,0,0,1
80,0,1,0,1,0,-0.6086956521739131,0.1655933762649494,-0.38845072809185777,1,0,1,0
81,0,1,0,0,1,-0.391304347826087,-0.36430542778288866,-0.24522678965457534,0,1,0,0
82,0,0,0,1,1,-0.4782608695652174,0.08831646734130656,-0.265398967815135,1,0,1,0
83,0,0,0,1,0,0.2826086956521739,0.6154553817847287,0.8634767905755112,0,0,1,0
84,0,0,2,1,1,0.43478260869565216,-0.9236430542778289,-0.12498940923809133,0,0,0,1
85,0,0,0,1,0,-0.43478260869565216,0.532658693652254,-0.14107999985265024,0,0,1,0
86,0,0,1,1,1,0.13043478260869565,-0.15087396504139827,0.24105679227003307,0,1,0,0
87,0,1,2,0,1,0.41304347826086957,-0.9144434222631095,-0.10033779925809407,0,0,0,1
88,0,1,2,1,1,0.3695652173913043,-0.9273229070837166,-0.13861925934657757,0,0,0,1
89,0,0,0,0,1,0.0,-0.6734130634774609,-0.11440969855928797,0,1,0,0
90,0,1,0,0,1,0.021739130434782608,0.2152713891444343,0.3456014263453951,0,0,1,0
